epoch,loss,perplexity,val_loss,val_perplexity
0,2.281231641769409,9.717560768127441,1.9731148481369019,7.168651103973389
1,1.8710222244262695,6.44273567199707,1.7794357538223267,5.911719799041748
2,1.722038984298706,5.558733940124512,1.6710705757141113,5.292026996612549
3,1.5894160270690918,4.878957748413086,1.530044436454773,4.611635208129883
4,1.462410807609558,4.31333589553833,1.4134238958358765,4.111043930053711
5,1.3690097332000732,3.9292101860046387,1.4025468826293945,4.070352554321289
6,1.333247423171997,3.7950692176818848,1.3945660591125488,4.0266432762146
7,1.2803914546966553,3.596864700317383,1.304294228553772,3.6768622398376465
8,1.2273343801498413,3.416192054748535,1.23944890499115,3.4239883422851562
9,1.1915987730026245,3.295281171798706,1.1906248331069946,3.293555498123169
10,1.153490662574768,3.1676042079925537,1.1483254432678223,3.196687698364258
11,1.116824746131897,3.057926893234253,1.1198383569717407,3.0716967582702637
12,1.0878105163574219,2.9695777893066406,1.0908877849578857,3.0207676887512207
13,1.064935326576233,2.900441884994507,1.0855436325073242,2.9509921073913574
14,1.0406721830368042,2.8302245140075684,1.0652345418930054,2.8962531089782715
15,1.0140435695648193,2.7578282356262207,1.0875749588012695,2.9526243209838867
16,0.9978590607643127,2.713003396987915,1.0428414344787598,2.8242931365966797
17,0.9782775640487671,2.656329393386841,1.005391001701355,2.7505171298980713
18,0.9638667106628418,2.6226184368133545,0.9834818243980408,2.680987596511841
19,0.9452335238456726,2.574605941772461,0.9945354461669922,2.6789205074310303
