epoch,loss,perplexity,val_loss,val_perplexity
0,2.09354829788208,8.04580020904541,1.8327466249465942,6.18486213684082
1,1.7000375986099243,5.446316719055176,1.5488191843032837,4.694675445556641
2,1.4158895015716553,4.11434268951416,1.3555761575698853,3.8690028190612793
3,1.3034358024597168,3.6814420223236084,1.2617448568344116,3.5341787338256836
4,1.208901047706604,3.3506524562835693,1.1919716596603394,3.291210889816284
5,1.1147925853729248,3.050706386566162,1.1044327020645142,3.009228467941284
6,1.044932246208191,2.8441009521484375,1.0432202816009521,2.8443899154663086
7,0.996126115322113,2.7082557678222656,0.9957200288772583,2.700929641723633
8,0.9610768556594849,2.617441177368164,0.9700532555580139,2.6420042514801025
9,0.932591438293457,2.5426809787750244,0.9523864984512329,2.58842134475708
10,0.9096205234527588,2.484203338623047,0.9181143641471863,2.5019593238830566
11,0.888739824295044,2.433340072631836,0.9087628722190857,2.4882771968841553
12,0.8754605054855347,2.4010984897613525,0.8981326818466187,2.4507088661193848
13,0.8595544099807739,2.364520311355591,0.9029596447944641,2.468989372253418
14,0.847489058971405,2.337069511413574,0.8808659315109253,2.4056191444396973
15,0.8364147543907166,2.309854507446289,0.8537560701370239,2.359013557434082
16,0.8246631622314453,2.283909559249878,0.8494821190834045,2.3391823768615723
17,0.8159840106964111,2.2631402015686035,0.8366702795028687,2.315234422683716
18,0.8067994713783264,2.2442920207977295,0.8567215800285339,2.347376585006714
19,0.8003388047218323,2.229700803756714,0.8406129479408264,2.320981740951538
