epoch,loss,perplexity,val_loss,val_perplexity
0,2.083742141723633,7.970348358154297,1.8034980297088623,6.010653495788574
1,1.6058242321014404,4.965618133544922,1.4266307353973389,4.162520885467529
2,1.3245723247528076,3.763819694519043,1.2606899738311768,3.5313498973846436
3,1.1956233978271484,3.3092963695526123,1.154143214225769,3.1719281673431396
4,1.0963751077651978,2.998690605163574,1.0728588104248047,2.9305925369262695
5,1.0034475326538086,2.7304770946502686,0.9999634027481079,2.720790147781372
6,0.9362651109695435,2.5542519092559814,0.9322761297225952,2.5520195960998535
7,0.8863391876220703,2.429286479949951,0.9076156616210938,2.483698606491089
8,0.851631224155426,2.346066951751709,0.8918471336364746,2.4327468872070312
9,0.8235586285591125,2.282724142074585,0.8549723029136658,2.354837417602539
10,0.8002894520759583,2.2281386852264404,0.8549259901046753,2.340754270553589
11,0.7796006202697754,2.1825056076049805,0.8097683787345886,2.2480390071868896
12,0.7588841319084167,2.139481782913208,0.8194160461425781,2.2702276706695557
13,0.743467390537262,2.106393337249756,0.7820360064506531,2.187229633331299
14,0.7283958792686462,2.0753417015075684,0.7685888409614563,2.1607279777526855
15,0.7123983502388,2.0417442321777344,0.7771769165992737,2.174579381942749
16,0.7012572288513184,2.019061326980591,0.7508618235588074,2.1219654083251953
17,0.6886268258094788,1.9927247762680054,0.7474439144134521,2.111990213394165
18,0.6789368391036987,1.974226474761963,0.7333115339279175,2.084568500518799
19,0.6675356030464172,1.9518818855285645,0.7228485941886902,2.0631518363952637
