epoch,loss,perplexity,val_loss,val_perplexity
0,2.126169204711914,8.297938346862793,1.8572351932525635,6.347039222717285
1,1.6291881799697876,5.076231479644775,1.4240268468856812,4.151877403259277
2,1.34645676612854,3.8447394371032715,1.2710450887680054,3.5702531337738037
3,1.201673984527588,3.3281912803649902,1.1577813625335693,3.1844065189361572
4,1.0925911664962769,2.985217809677124,1.0502549409866333,2.860048532485962
5,1.0068007707595825,2.7402374744415283,0.9699893593788147,2.641998052597046
6,0.9349093437194824,2.5503244400024414,0.913886547088623,2.497384548187256
7,0.8876346349716187,2.432525157928467,0.8863986134529114,2.43210768699646
8,0.8488209843635559,2.3398289680480957,0.8420540690422058,2.323092460632324
9,0.8161813616752625,2.2649664878845215,0.820094883441925,2.2768404483795166
10,0.7911551594734192,2.2089574337005615,0.7987852096557617,2.2233173847198486
11,0.7662695050239563,2.154623508453369,0.7821287512779236,2.18959903717041
12,0.7582250237464905,2.136624813079834,0.7656248807907104,2.1542577743530273
13,0.7271009683609009,2.0719010829925537,0.756191611289978,2.133286237716675
14,0.7119816541671753,2.0407683849334717,0.7421278953552246,2.104797601699829
15,0.6938921213150024,2.0042049884796143,0.7259113788604736,2.0692505836486816
16,0.6809486150741577,1.9782886505126953,0.7132542133331299,2.043513774871826
17,0.666265606880188,1.9495148658752441,0.713733971118927,2.045677661895752
18,0.6542956829071045,1.926222324371338,0.704328179359436,2.024768590927124
19,0.6418132781982422,1.9021660089492798,0.6990860104560852,2.0153186321258545
