composer,date_of_birth,birth_town,birth_country,date_of_death,death_town,death_country,nationality
Georg Friederich Händel,1685.0,Halle,Germany,1759.0,London,England,Germany
Henry Lawes,1595.0,Dinton,England,1662.0,London,England,England
Anthony Holborne,1550.0,,England,1602.0,London,England,England
Tobias Hume,1569.0,London,England,1645.0,London,,England
Gregorius Howet,1550.0,,,1617.0,,,Belgium
Jacob Meiland,1542.0,Senftenberg,Germany,1577.0,Hechingen,Germany,Germany
Jacobus,1455.0,Antwerpen,Belgium,1491.0,Antwerpen,,France
Clement Janequin,1485.0,ChÃ¢tellerault,France,1558.0,Paris,France,France
Anonymous,,,,,,,
Robert Jones,1485.0,,England,1536.0,,,England
Josquin des Prez,1450.0,"CondÃ©, Indre",France,1521.0,CondÃ©-sur-lâ€™Escaut,France,France
Sixt Kargel,1540.0,,,1594.0,,,Germany
David Kellner,1670.0,Leipzig,Germany,1748.0,Stockholm,Sweden,Germany
Robert Kindersley,,,,1634.0,,,England
Nicholas Lanier,1588.0,London,England,1666.0,Greenwich,England,England
Orlando di Lasso,1532.0,Mons,Belgium,1594.0,MÃ¼nchen,Germany,Belgium
Nicolas Lebègue,,,,,,,
Giovanni Legrenzi,1626.0,Clusone,Italy,1690.0,Venezia,Italy,Italy
Claude Le Jeune,1528.0,Valenciennes,France,1600.0,Paris,France,France
Giovanni Leoni,1588.0,Padua,Italy,1652.0,Rome,,Italy
Carlo Ambrogio Lonati,,,,,,,
Jan Antonín Losy,1650.0,zÃ¡mek Å tÄ›keÅˆ,Czech Republic,1721.0,Praha,Czech Republic,
Luigi Rossi,1598.0,Torremaggiore,Italy,1653.0,Roma,Italy,Italy
Jean-Baptiste Lully,1665.0,Florence,Italy,1743.0,Paris,France,France
Michel Lambert,1610.0,Champigny sur Veude,France,1696.0,Paris,France,France
Girolamo Conversi,,,,,,,Italy
Joanambrosio Dalza,,,,,,,Italy
Gary Digman,,,,,,,
Emanuel Adriaenssen,1554.0,Antwerpen,Belgium,1604.0,Antwerpen,Belgium,Belgium
Nicolas Gombert,1490.0,Brugge,Belgium,1556.0,Doornik,Belgium,Belgium
John Johnson,1540.0,,England,1594.0,,,England
William Lawes,1602.0,"Salisbury, UK",England,1645.0,Chester,England,England
John Marchant,1588.0,,England,1611.0,,,England
Francesco da Milano,1523.0,Monza,Italy,1552.0,Milan,,Italy
Simone Molinaro,1565.0,Genoa,Italy,1615.0,Genoa,,Italy
Claudio Monteverdi,1567.0,Cremona,Italy,1643.0,Venezia,Italy,Italy
Cristóbal de Morales,1500.0,Sevilla,Spain,1553.0,Marchena,Spain,Spain
Jacob Obrecht,1458.0,Gent,Belgium,1505.0,Ferrara,Italy,Belgium
Alessandro Piccinini,1566.0,Bologna,Italy,1639.0,Bologna,,Italy
Francis Pilkington,1562.0,,,1638.0,Chester,,England
George Botsford,1874.0,,,1949.0,,,
Henry Purcell,1659.0,Westminster,England,1695.0,London,England,England
Thomas Robinson,1589.0,,England,1609.0,,,England
Francesco Spinacino,1475.0,Fossombrone,Italy,1507.0,Venezia,Italy,Italy
Alessandro Striggio,1536.0,Mantua,Italy,1592.0,Mantua,Italy,Italy
Jan Pieterszoon Sweelinck,1561.0,Deventer,Netherlands,1621.0,Amsterdam,Netherlands,Netherlands
Giovanni Terzi,1580.0,Bergamo,Italy,1600.0,,,Italy
Nicolas Vallet,1583.0,Corbeny,France,1644.0,Amsterdam,Netherlands,France
Vincenzo Galilei,1520.0,Santa Maria a Monte,Italy,1591.0,Florence,,Italy
Thomas Mace,1612.0,,,1706.0,,,England
Guillaume de Machaut,1300.0,Reims,France,1377.0,Reims,,France
Pierre de Manchicourt,1510.0,Bethune,,1564.0,Madrid,Spain,Spain
Marin Marais,1656.0,Paris,France,1728.0,Paris,,France
Jacques Mauduit,1557.0,Paris,France,1627.0,Paris,,France
Domenico Mazzocchi,1592.0,Civita Castellana,Italy,1665.0,Rome,,Italy
David Melvill,1604.0,,Scotland,1643.0,,,Scotland
Mercure d'Orléans,,,,,,,France
Elias Mertel,1561.0,,,1626.0,,,Germany
René Mesangeau,,,,,,,France
Gottfried Meusel,1688.0,,,1728.0,,,Germany
Charles Edinthon,,,,,,,
Enríquez de Valderrábano,,,,,,,
Albert de Rippe,1500.0,Mantua,Italy,1551.0,Paris,France,Italy
Antonio di Becchi,1522.0,Parma,Italy,1566.0,,,Italy
Giovanni Maria da Crema,1540.0,Crema,Italy,1550.0,,,Italy
Julio Segni,1498.0,Modena,Italy,1561.0,Rome,,Italy
Wolff Heckel,1515.0,,München,1562.0,,,Germany
Joanne Matelart,1538.0,,,1607.0,Rome,Italy,Italy
Paulo Galvão,,,,,,,
Sigmar Salzburg,,,,,,,
Laudon Schuett,,,,,,,
Michel de Montéclair,,,,,,,
Guillaume Morlaye,1515.0,,,1560.0,,,France
Thomas Morley,1557.0,Norwich,England,1602.0,London,England,England
Robert Morton,1430.0,,,1479.0,,England,England
Etienne Moulini,1599.0,,,1676.0,,,France
Christian G. Scheidler,1752.0,,Germany,1815.0,Frankfurt,,Germany
Diego Ortiz,1510.0,Toledo,Spain,1570.0,Napoli,Italy,Spain
Francisco Paez,,,,,,,Spain
Pierre Passereau,1490.0,Paris,France,1547.0,,,France
Mogens Pedersøn,1585.0,,,1623.0,,,Denmark
Jacopo Peri,1561.0,Roma,Italy,1633.0,Firenze,Italy,Italy
Peter Philips,1561.0,London,England,1628.0,Brussel,Belgium,England
Marcantonio del Pifaro,,,,,,,Italy
Diego Pisador,1510.0,Salamanca,Spain,1557.0,Salamanca,Spain,Spain
Bob Telson,,,,,,,
John Lennon and Paul McCartney,1940.0,Liverpool,England,1980.0,United States,,England
John Lennon,1950.0,,England,1980.0,New York,,England
Scott Joplin,1868.0,,,1917.0,,,
Willie Nelson,,,,,,,
Paul McCartney,1942.0,Liverpool,England,,,,England
Harold Arlen,1905.0,Buffalo,,1986.0,New York,,
Walter Gross and Jack Lawrence,,,,,,,
Lionel Bart,1930.0,London,England,1999.0,London,England,England
Michael Praetorius,1571.0,Kreuzburg,Germany,1621.0,WolfenbÃ¼ttel,Germany,Germany
Johann Joachim Quantz,,,,,,,
Cidrac Rael,,,,,,,
Jean Phillipe Rameau,1683.0,Dijon,France,1764.0,Paris,France,France
Esaias Reusner,1636.0,Lwowek Slaski,Germany,1679.0,Berlin,,Germany
Jakub Reys,1540.0,,Poland,1605.0,Paris,France,Poland
Francois Richard,,,,,,,
Robert Johnson,1583.0,London,England,1633.0,London,,England
Ludovico  Roncalli,,,,,,,Italy
Roquelay,,,,,,,France
Philip Rosseter,1568.0,London,England,1623.0,London,England,England
Gioacchino Rossini,1792.0,Pesaro,Italy,1868.0,Passy,France,Italy
Giovanni Felice Sances,1660.0,Rome,Italy,1679.0,Vienna,Austria,Italy
Pierre Sandrin,1490.0,Saint-Marcel,France,1561.0,Ferrara,Italy,France
Gaspar Sanz,1640.0,"Calanda, Spain",Spain,1710.0,Madrid,,Spain
Alessandro Scarlatti,1660.0,Palermo,Italy,1725.0,Napoli,Italy,Italy
Arnolt Schlick,1460.0,Heidelberg,Germany,1521.0,Heidelberg,Germany,Germany
Hans Judenkönig,1450.0,SchwÃ¤bisch GmÃ¼nd,Germany,1526.0,Wien,Austria,Germany
Heinrich Schütz,1585.0,KÃ¶stritz,Germany,1672.0,Dresden,Germany,Germany
Ludwig Senfl,1490.0,ZÃ¼rich,Switzerland,1543.0,MÃ¼nchen,Germany,Switzerland
Simon Gintzler,1490.0,Trient,,1547.0,,,Germany
Johann Siess,,,,1534.0,,,Germany
Alessandro Stradella,1639.0,Roma,Italy,1682.0,Genua,Italy,Italy
Barbara Strozzi,1619.0,Venezia,Italy,1677.0,Padova,Italy,Italy
Tylman Susato,1510.0,,Germany,1570.0,Stockholm,Sweden,Germany
Georg Philipp  Telemann,1681.0,Magdeburg,Germany,1767.0,Hamburg,Germany,Germany
Guillaume Tessier,1550.0,,,1609.0,,,France
Johan Thijs,,,,,,,
Lorenzino Tracetti,,,,,,,Italy
Henry Tudor,1661.0,Paris,France,1741.0,LunÃ©ville,France,France
Joachim van den Hove,1567.0,Antwerpen,Belgium,1620.0,Den Haag,Netherlands,Netherlands
Jacob van Eyck,1590.0,Den Haag,Netherlands,1657.0,Utrecht,Netherlands,Netherlands
Philip van Wilder,1500.0,Wormhout,Belgium,1553.0,London,England,Belgium
Philippe Verdelot,1480.0,Rebais,France,1530.0,Florence,Italy,France
Ennemond Gaultier,1575.0,Lyon,France,1651.0,Villette,France,France
Jacques Vide,1395.0,Brugge,Belgium,1441.0,,,Belgium
Benedetto Vinaccesi,1670.0,Brescia,Italy,1719.0,Venezia,Italy,Italy
Robert de Visée,1652.0,,France,1735.0,Paris,France,France
Thomas Weelkes,1576.0,Elstedt,England,1623.0,London,England,England
Silvius Leopold Weiss,,,,,,,
Robert White,1538.0,London,England,1574.0,London,England,England
John Whitfield,,,,,,,England
John Wilbye,1574.0,"Diss, Norfolk",England,1638.0,"Colchester, UK",England,England
Adrian Willaert,1490.0,Roeselare,Belgium,1562.0,Venezia,Italy,Belgium
John Wilson,1595.0,,,1674.0,,,England
Henry Thomas Smart,1813.0,London,England,1879.0,London,,England
Traditional French,,,,,,,
Conrad Kocher,1786.0,Ditzingen,Germany,1872.0,Stuttgart,Germany,Germany
William James Kirkpatrick,1838.0,Duncannon,,1921.0,Germantown,,
Mel Torm,,,,,,,
Traditional Welsh,,,,,,,
Thoinot Arbeau,1519.0,Dijon,France,1595.0,Langres,France,France
Traditional English,,,,,,,
James Mason Neale,,,,,,,England
Thomas Helmore,,,,,,,
Felix Mendelssohn,1809.0,Hamburg,Germany,1847.0,Leipzig,Germany,Germany
Hugh Martin and Ralph Blane,,,,,,,
Dimitri Bortniansky,,,,,,,
Jean-Baptiste Calkin,,,,,,,
Henry John Gauntlett,1805.0,"Wellington, UK",,1876.0,London,,England
Franz Gruber,1826.0,Unterweitzberg,Austria,1871.0,Salzburg,,Austria
John Henry Hopkins,1822.0,Pittsburgh,,1900.0,Hudson,,England
Giovanni Zamboni,1700.0,Rome,Italy,1718.0,Pisa,,Italy
Ruggiero Giovannelli,1560.0,Velletri,Italy,1625.0,Roma,,Italy
Paolo Quagliati,1555.0,Chioggia,Italy,1628.0,Rome,Italy,Italy
Giovanni Gabrieli,1554.0,Venezia,Italy,1612.0,Venezia,Italy,Italy
A. Melandino,,,,,,,
Hans Leo Hassler,1564.0,NÃ¼rnberg,Germany,1612.0,Frankfurt am Main,Germany,Germany
Camillo Zanotti,1545.0,,,1591.0,,,Italy
Jacobus Gallus,1550.0,Reifnitz,Austria,1591.0,Prague,,Austria
Knowles,,,,,,,
Orazio Vecchi,1550.0,Modena,Italy,1605.0,Modena,Italy,Italy
Melchior Newsidler,1531.0,,,1590.0,,,Germany
Alessandro Orologio,1550.0,San Giorgio della Richinvelda,Italy,1633.0,Vienna,Austria,Italy
Hans Newsidler,1508.0,Bratislava,Slovakia,1563.0,NÃ¼rnberg,Germany,Germany
Georg Forster,1510.0,,,1568.0,,,Germany
Adolf Blindhamer,1475.0,,Germany,1532.0,,,Germany
Giulio Abondante,1546.0,Venice,Italy,1587.0,,,Italy
Pierre Blondeau,,,,,,,France
Charles de Lespine,,,,,,,France
Pierre Attaingnant,1494.0,Douai,France,1551.0,Paris,,France
Pierre Moulu,1484.0,Eure-et-Loir,France,1540.0,,,France
Claudin de Sermisy,1490.0,Noyon,France,1562.0,Paris,,France
Giovanni,,,,,,,
Giovanni Batista Borrono,,,,,,,
Fabrizio Dentice,1539.0,Napoli,Italy,1581.0,Parma,Italy,Italy
Franz Sales,,,,,,,
Piero Strozzi,1550.0,,,1609.0,,,Italy
Hortenzio Perla,,,,,,,Italy
Cristofano Malvezzi,1547.0,Lucca,Italy,1599.0,Florence,,Italy
Giulio Giovanni,,,,,,,
Johann Sebastian Bach,1685.0,Eisenach,Germany,1750.0,Leipzig,Germany,Germany
Bernardino Balletti,,,Italy,1554.0,,,Italy
Melchiore de Barberiis,1545.0,,Italy,1550.0,,,Italy
William Barley,,,,,,,
Gabriel Bataille,1574.0,"Brie, ÃŽle-de-France",France,1630.0,Paris,France,France
Vincent,,,,,,,
Savorny,,,,,,,France
Jacques Salmon,1545.0,,France,1586.0,,,France
Charles Tessier,1550.0,London,,1604.0,,,France
Pierre Cerveau,,,,,,,France
Didier Le Blanc,,,,,,,France
Guillaume Chastillon de LaTour,1550.0,,,1610.0,,,France
Nicolas Chevalier,,,,,,,France
Jean Planson,1545.0,Paris,France,1612.0,,,France
Jean de Castro,1540.0,Liege,Belgium,1600.0,KÃ¶ln,Germany,Belgium
