composer,date_of_birth,birth_town,birth_country,date_of_death,death_town,death_country,nationality
Charles Jackson,,,,,,,
John Lawrence,,,,,,,England
Germain Pinel,,Paris,France,1661.0,Paris,,France
Ambrose Lupo,,,,1591.0,,,Italy
Edward Pearce,1560.0,,,1613.0,,,England
Mark Antony,,,,,,,
Robert Taylor,,,,,,,
Jenning,,,,,,,
William Hewes,,,,,,,
Luis de Narváez,1500.0,Granada,Spain,1550.0,,,Spain
Franciscus von Maylandt,,,,,,,
Bernardo Gianoncelli,,,,,,,Italy
Baldassere Donato,1530.0,Venezia,Italy,1603.0,,,Italy
Jacob Heringman,,,,,,,
Pietro Raimondo,,,,,,,Italy
Julito Tartaglino,,,,,,,
Cosimo Bottegari,1554.0,Florence,Italy,1620.0,Florence,Italy,Italy
Andrea Falconieri,1585.0,Napoli,Italy,1656.0,Napoli,Italy,Italy
Arcangelo Lori,,,,1679.0,,,Italy
Giuseppe Baglioni,,,,,,,
Clement Cotton,,,,,,,
Newman,1550.0,,England,1575.0,,,England
Weston,,,,,,,
Fernyers,,,,,,,
Marck Antoine,,,,,,,
Bernhard Jobin,,,,,,,France
Adrian Le Roy,1520.0,Montreuil-sur-Mer,France,1599.0,Paris,France,France
Luis Milan,1500.0,"Valencia, Spain",Spain,1561.0,"Valencia, Spain",Spain,Spain
Alonso Mudarra,1510.0,Palencia,Spain,1580.0,Sevilla,Spain,Spain
Cesare Negri,1535.0,Milano,Italy,1604.0,Milano,Italy,Italy
Nicolas Craen,,,,,,,
Loyset Compère,1445.0,,,1518.0,Saint-Quentin,France,France
Johannes Stokhem,,,,,,,
Antoine Brumel,1460.0,Brunelles,France,1515.0,Mantua,France,France
Johannes Ghiselin,1491.0,,,1507.0,Bergen op Zoom,Netherlands,Netherlands
Alexander Agricola,1446.0,,Belgium,1506.0,Valladolid,Spain,Belgium
Andreas de Silva,1475.0,Mantua,Spain,1530.0,,,Spain
Antoine de Févin,1470.0,,,1511.0,Blois,France,France
Jacob Obrecht or Pierre de la Rue,1460.0,Tournai,Belgium,1518.0,Kortrijk,Belgium,Belgium
Gianantonio Severino,,,,,,,
Pineta,,,,,,,
Giulio Severino,,,,1601.0,,,Italy
Rogier Pathie,1510.0,Cambrai,Belgium,1565.0,Valladolid,Spain,Belgium
Andrea Feliciani,,,,1596.0,,,Italy
Aluigi Vindella,,,,,,,
Amadeo Moretti,,,,,,,
Sebastian Ochsenkuhn,1521.0,,,1574.0,,,Germany
Jean Paul Paladin,,,,,,,
Jacques Clément,,,,,,,
Damien Havericq,,,,,,,Netherlands
Ninot Le Petit,1460.0,,France,1502.0,,,France
Pierre de la Rue,1452.0,Tournai,Belgium,1518.0,Kortrijk,,Belgium
Jheronimus Vinders,1525.0,,Belgium,1526.0,,,Belgium
Jean Richafort,1480.0,Ricartsvoorde,Belgium,1547.0,Brugge,,Belgium
Giovanni Pierluigi da Palestrina,1525.0,,Italy,1594.0,Roma,Italy,Italy
Luys Maym?n,,,,,,,
Francesco de Aguyles,,,Spain,1590.0,,,Spain
Baldassare Donato,1529.0,,Italy,1603.0,Venice,,Italy
Noé Faignient,,,,,,,
Jacques Colebault,,,,,,,
Francesco Cardone,,,,,,,
Francesco Cera,,,,,,,
Philippe de Monte,1521.0,Mechelen,Belgium,1603.0,Praha,Czech Republic,Belgium
Fedo Reno,,,,,,,
Teodoro,,,,,,,
Giuseppe Giovanni,,,,,,,
Juan Farnese,,,,,,,
Maille,,,,,,,France
Senior Terzi,,,,,,,
Francesco Guami,1544.0,Lucca,Italy,1602.0,Lucca,,Italy
Paolo Tusti,,,,,,,
Vincenzo Bellaver,1530.0,,Italy,1587.0,,,Italy
Vincenzo Capirola,1474.0,Brescia,Italy,1548.0,Brescia,Italy,Italy
Donino Garsi,,,,,,,
Francesco Vindella,,,,,,,
